A;2021-09-05 03:14:07;1
B;2021-09-05 03:14:08;3
A;2021-09-05 03:14:09;3
A;2021-09-05 03:14:11;2
B;2021-09-05 03:14:12;2
C;2021-09-05 03:14:14;1
D;2021-09-05 03:14:16;5
B;2021-09-05 03:14:16;4
A;2021-09-05 03:14:17;4
C;2021-09-05 03:14:17;3
E;2021-09-05 03:14:18;6
C;2021-09-05 03:14:18;2
A;2021-09-05 03:14:20;5
B;2021-09-05 03:14:21;5
F;2021-09-05 03:14:22;1
E;2021-09-05 03:14:23;8
D;2021-09-05 03:14:24;6
A;2021-09-05 03:14:24;6
C;2021-09-05 03:14:25;3
F;2021-09-05 03:14:28;1
C;2021-09-05 03:14:28;3
A;2021-09-05 03:14:29;8
E;2021-09-05 03:14:30;9
F;2021-09-05 03:14:31;5
D;2021-09-05 03:14:33;8
B;2021-09-05 03:14:34;6
C;2021-09-05 03:14:36;2
A;2021-09-05 03:14:38;9
C;2021-09-05 03:14:40;4
B;2021-09-05 03:14:41;8
A;2021-09-05 03:14:41;9
D;2021-09-05 03:14:43;7
